MOUNTAIN	ELEVATION	PROMINENCE	STATE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	1800PROM	3500FOOT	TOWER
Slide Mountain	4180	3280	New York	Catskill Mountains	Burroughs Range	41.999112	-74.386045	YES	YES	YES	NO
Hunter Mountain	4040	2140	New York	Catskill Mountains	Devil's Path Range	42.177724	-74.230172	YES	YES	YES	YES
Black Dome	3980	2060	New York	Catskill Mountains	Blackhead Range	42.270197	-74.122996	NO	YES	YES	NO
Blackhead	3940	500	New York	Catskill Mountains		42.267745	-74.104703	NO	NO	YES	NO
Thomas Cole Mountain	3940	200	New York	Catskill Mountains		42.270923	-74.136168	NO	NO	YES	NO
West Kill Mountain	3880	1220	New York	Catskill Mountains		42.167971	-74.289694	NO	NO	YES	NO
Graham Mountain	3868	1188	New York	Catskill Mountains		42.039536	-74.549350	NO	NO	YES	NO
Doubletop Mountain	3860	880	New York	Catskill Mountains		42.027405	-74.528053	NO	NO	YES	NO
Cornell Mountain	3860	600	New York	Catskill Mountains		42.001565	-74.356974	NO	NO	YES	NO
Table Mountain	3847	647	New York	Catskill Mountains		41.958588	-74.404936	NO	NO	YES	NO
Peekamoose Mountain	3843	183	New York	Catskill Mountains		41.953016	-74.398253	NO	NO	YES	NO
Plateau Mountain	3840	1760	New York	Catskill Mountains		42.138233	-74.174374	NO	NO	YES	NO
Sugarloaf Mountain	3800	1180	New York	Catskill Mountains		42.131280	-74.150254	NO	NO	YES	NO
Wittenburg Mountain	3780	200	New York	Catskill Mountains		42.008279	-74.347330	NO	NO	YES	NO
Southwest Hunter	3740	180	New York	Catskill Mountains		42.162559	-74.243656	NO	NO	YES	NO
Lone Mountain	3721	281	New York	Catskill Mountains		41.969390	-74.389216	NO	NO	YES	NO
Panther Mountain	3720	960	New York	Catskill Mountains		42.056480	-74.394295	NO	NO	YES	NO
Balsam Lake Mountain	3720	460	New York	Catskill Mountains		42.045601	-74.594508	NO	NO	YES	YES
Big Indian Mountain	3700	500	New York	Catskill Mountains		42.035036	-74.496641	NO	NO	YES	NO
Friday Mountain	3694	194	New York	Catskill Mountains		41.987875	-74.362077	NO	NO	YES	NO
Rusk Mountain	3680	740	New York	Catskill Mountains		42.200799	-74.277009	NO	NO	YES	NO
Kaaterskill High Peak	3655	1695	New York	Catskill Mountains		42.162206	-74.080228	NO	NO	YES	NO
Twin Mountain	3640	820	New York	Catskill Mountains		42.125571	-74.129263	NO	NO	YES	NO
Balsam Cap	3623	243	New York	Catskill Mountains		41.977204	-74.357412	NO	NO	YES	NO
Fir Mountain	3620	420	New York	Catskill Mountains		42.027692	-74.469057	NO	NO	YES	NO
North Dome	3610	1150	New York	Catskill Mountains		42.173758	-74.348948	NO	NO	YES	NO
