MOUNTAIN	ELEVATION	PROMINENCE	STATE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	1800PROM	29ER	TOWER	29JR
Mount Marcy	5344	4914	New York	Adirondack Mountains	Marcy Range	44.112857	-73.923784	YES	YES	NO	NO	NO
Algonquin Peak	5115	2096	New York	Adirondack Mountains	MacIntyre Range	44.143624	-73.986721	YES	YES	NO	NO	NO
Mount Haystack	4961	827	New York	Adirondack Mountains	Marcy Range	44.105796	-73.900787	YES	NO	NO	NO	NO
Mount Skylight	4925	577	New York	Adirondack Mountains	Marcy Range	44.099543	-73.931200	YES	NO	NO	NO	NO
Whiteface Mountain	4865	3094	New York	Adirondack Mountains	Whiteface Range	44.365795	-73.903219	YES	YES	NO	NO	NO
Iroquois Peak	4843	151	New York	Adirondack Mountains	MacIntyre Range	44.136881	-73.998263	YES	NO	NO	NO	NO
Basin Mountain	4826	725	New York	Adirondack Mountains	Great Range	44.121392	-73.886560	YES	NO	NO	NO	NO
Gray Peak	4826	102	New York	Adirondack Mountains	Marcy Range	44.111683	-73.935370	YES	NO	NO	NO	NO
Dix Mountain	4823	2789	New York	Adirondack Mountains	Dix Range	44.082417	-73.786588	YES	YES	NO	NO	NO
Gothics	4734	699	New York	Adirondack Mountains	Great Range	44.127528	-73.858031	YES	NO	NO	NO	NO
Mount Colden	4715	876	New York	Adirondack Mountains	Marcy Range	44.126996	-73.960092	YES	NO	NO	NO	NO
Giant Mountain	4626	2953	New York	Adirondack Mountains	Giant Range	44.161243	-73.720261	YES	YES	NO	NO	NO
Mount Redfield	4606	243	New York	Adirondack Mountains	Marcy Range	44.094817	-73.950006	YES	NO	NO	NO	NO
Santanoni Peak	4606	2408	New York	Adirondack Mountains	Santononi Range	44.082445	-74.131163	YES	YES	NO	NO	NO
Nippletop	4593	1345	New York	Adirondack Mountains	Colvin Range	44.089104	-73.816293	YES	NO	NO	NO	NO
Wright Peak	4587	256	New York	Adirondack Mountains	MacIntyre Range	44.151768	-73.979762	YES	NO	YES	NO	NO
Saddleback Mountain (NY)	4528	361	New York	Adirondack Mountains	Great Range	44.126584	-73.875073	YES	NO	NO	NO	NO
Panther Peak	4442	276	New York	Adirondack Mountains	Santononi Range	44.098438	-74.132291	YES	NO	NO	NO	NO
Armstrong Mountain	4429	98	New York	Adirondack Mountains	Great Range	44.134718	-73.849824	YES	NO	NO	NO	NO
Table Top Mountain	4413	410	New York	Adirondack Mountains	Marcy Range	44.140661	-73.916373	YES	NO	NO	NO	NO
Hough Peak	4409	374	New York	Adirondack Mountains	Dix Range	44.069622	-73.777727	YES	NO	NO	NO	NO
Rocky Peak Ridge	4390	617	New York	Adirondack Mountains	Giant Range	44.154363	-73.705445	YES	NO	NO	NO	NO
Macomb Mountain	4370	564	New York	Adirondack Mountains	Dix Range	44.051760	-73.780276	YES	NO	NO	NO	NO
Mount Marshall	4364	492	New York	Adirondack Mountains	MacIntyre Range	44.127744	-74.012320	YES	NO	NO	NO	NO
Allen Mountain	4347	640	New York	Adirondack Mountains	Marcy Range	44.071037	-73.939912	YES	NO	NO	NO	NO
Seward Mountain	4331	2021	New York	Adirondack Mountains	Seward Range	44.159861	-74.199670	YES	YES	NO	NO	NO
Esther Mountain	4239	302	New York	Adirondack Mountains	Whiteface Range	44.387191	-73.889839	YES	NO	NO	NO	NO
Upper Wolfjaw Mountain	4203	266	New York	Adirondack Mountains	Great Range	44.140504	-73.845274	YES	NO	NO	NO	NO
Big Slide Mountain	4199	1050	New York	Adirondack Mountains	Sentinel Range	44.182303	-73.870842	YES	NO	NO	NO	NO
Lower Wolfjaw Mountain	4173	663	New York	Adirondack Mountains	Great Range	44.148407	-73.832884	YES	NO	NO	NO	NO
Phelps Mountain	4160	190	New York	Adirondack Mountains	Marcy Range	44.157024	-73.921508	YES	NO	NO	NO	NO
