MOUNTAIN	ELEVATION	PROMINENCE	STATE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	3500FOOT	1800PROM	52VIEW	TOWER
Mount Washington	6288	6148	New Hampshire	White Mountains	Presidential Range (NH)	44.270464	-71.303444	YES	YES	YES	NO	NO
Mount Adams	5799	861	New Hampshire	White Mountains	Presidential Range (NH)	44.320675	-71.291695	YES	YES	NO	NO	NO
Mount Jefferson	5712	753	New Hampshire	White Mountains	Presidential Range (NH)	44.304185	-71.316750	YES	YES	NO	NO	NO
Mount Monroe	5372	254	New Hampshire	White Mountains	Presidential Range (NH)	44.255050	-71.321420	YES	YES	NO	NO	NO
Mount Madison	5366	466	New Hampshire	White Mountains	Presidential Range (NH)	44.328843	-71.276820	YES	YES	NO	NO	NO
Mount Lafayette	5240	3320	New Hampshire	White Mountains	Franconia Range	44.160730	-71.644564	YES	YES	YES	NO	NO
Mount Lincoln	5089	169	New Hampshire	White Mountains	Franconia Range	44.148832	-71.644677	YES	YES	NO	NO	NO
South Twin	4902	1502	New Hampshire	White Mountains	Twin Range	44.187702	-71.554604	YES	YES	NO	NO	NO
Carter Dome	4832	2821	New Hampshire	White Mountains	Carter Range	44.267352	-71.179195	YES	YES	YES	NO	NO
Mount Moosilauke	4802	2932	New Hampshire	White Mountains	Moosilaukee Range	44.024326	-71.830965	YES	YES	YES	NO	NO
North Twin	4761	281	New Hampshire	White Mountains	Twin Range	44.202594	-71.558053	YES	YES	NO	NO	NO
Mount Eisenhower	4760	335	New Hampshire	White Mountains	Presidential Range (NH)	44.240526	-71.350307	YES	YES	NO	NO	NO
Mount Bond	4698	298	New Hampshire	White Mountains	Twin Range	44.153045	-71.531225	YES	YES	NO	NO	NO
Mount Carrigain	4680	2223	New Hampshire	White Mountains	Hancock Range	44.093567	-71.446865	YES	YES	YES	NO	YES
Middle Carter Mountain	4600	700	New Hampshire	White Mountains	Carter Range	44.303054	-71.167757	YES	YES	NO	NO	NO
Mount Guyot	4560	160	New Hampshire	White Mountains	Twin Range	44.168219	-71.533907	YES	YES	NO	NO	NO
West Bond	4520	160	New Hampshire	White Mountains	Twin Range	44.154734	-71.543514	YES	YES	NO	NO	NO
Mount Garfield	4480	800	New Hampshire	White Mountains	Franconia Range	44.187219	-71.610836	YES	YES	NO	NO	NO
Mount Liberty	4459	379	New Hampshire	White Mountains	Franconia Range	44.115781	-71.642142	YES	YES	NO	NO	NO
Wildcat A	4422	1034	New Hampshire	White Mountains	Carter Range	44.259231	-71.201739	YES	YES	NO	NO	NO
South Carter Mountain	4420	220	New Hampshire	White Mountains	Carter Range	44.289823	-71.176483	YES	YES	NO	NO	NO
Mount Hancock	4400	1200	New Hampshire	White Mountains	Hancock Range	44.083370	-71.493429	YES	YES	NO	NO	NO
South Kinsman Mountain	4358	2398	New Hampshire	White Mountains	Kinsman Range	44.122965	-71.736553	YES	YES	YES	NO	NO
Mount Flume	4328	408	New Hampshire	White Mountains	Franconia Range	44.108779	-71.627914	YES	YES	NO	NO	NO
Mount Field	4320	1681	New Hampshire	White Mountains	Crawford Range	44.196195	-71.433428	YES	YES	NO	NO	NO
Mount Osceola	4320	2000	New Hampshire	White Mountains	Osceola Range	44.001614	-71.535615	YES	YES	YES	NO	NO
South Hancock	4319	159	New Hampshire	White Mountains	Hancock Range	44.073219	-71.487149	YES	YES	NO	NO	NO
Mount Pierce	4310	230	New Hampshire	White Mountains	Presidential Range (NH)	44.226755	-71.365783	YES	YES	NO	NO	NO
North Kinsman Mountain	4293	253	New Hampshire	White Mountains	Kinsman Range	44.133370	-71.736915	YES	YES	NO	NO	NO
Bondcliffs	4265	185	New Hampshire	White Mountains	Twin Range	44.140653	-71.540616	YES	YES	NO	NO	NO
Mount Willey	4255	255	New Hampshire	White Mountains	Crawford Range	44.183428	-71.421129	YES	YES	NO	NO	NO
Zealand Mountain	4240	200	New Hampshire	White Mountains	Twin Range	44.179740	-71.521355	YES	YES	NO	NO	NO
Mount Cabot	4160	2661	New Hampshire	White Mountains	Pilot Range	44.505984	-71.414423	YES	YES	YES	NO	NO
North Tripyramid	4160	1320	New Hampshire	White Mountains	Sandwich Range	43.973254	-71.442878	YES	YES	NO	NO	NO
East Osceola	4156	316	New Hampshire	White Mountains	Osceola Range	44.006235	-71.520622	YES	YES	NO	NO	NO
Middle Tripyramid	4120	240	New Hampshire	White Mountains	Sandwich Range	43.964662	-71.440101	YES	YES	NO	NO	NO
Cannon Mountain	4080	720	New Hampshire	White Mountains	Kinsman Range	44.156776	-71.698626	YES	YES	NO	NO	YES
Wildcat D	4062	287	New Hampshire	White Mountains	Carter Range	44.249433	-71.223766	YES	YES	NO	NO	NO
Mount Hale	4054	614	New Hampshire	White Mountains	Twin Range	44.221711	-71.512254	YES	YES	NO	NO	NO
Mount Jackson	4052	332	New Hampshire	White Mountains	Presidential Range (NH)	44.203202	-71.375523	YES	YES	NO	NO	NO
Mount Tom	4051	331	New Hampshire	White Mountains	Crawford Range	44.210563	-71.446184	YES	YES	NO	NO	NO
Mount Moriah	4049	922	New Hampshire	White Mountains	Carter Range	44.340522	-71.131776	YES	YES	NO	NO	NO
Mount Passaconaway	4043	803	New Hampshire	White Mountains	Sandwich Range	43.954734	-71.380821	YES	YES	NO	NO	NO
Owl's Head	4025	825	New Hampshire	White Mountains	Franconia Range	44.144081	-71.605039	YES	YES	NO	NO	NO
Galehead Mountain	4024	264	New Hampshire	White Mountains	Twin Range	44.185020	-71.573501	YES	YES	NO	NO	NO
Mount Wambek	4006	1289	New Hampshire	White Mountains	Pilot Range	44.432661	-71.417564	YES	YES	NO	NO	NO
Mount Tecumseh	4003	1723	New Hampshire	White Mountains	Osceola Range	43.966479	-71.556689	YES	YES	NO	NO	NO
Mount Isolation	4003	203	New Hampshire	White Mountains	Presidential Range (NH)	44.214706	-71.309318	YES	YES	NO	NO	NO
Mount Whiteface	4000	560	New Hampshire	White Mountains	Sandwich Range	43.936643	-71.407716	YES	YES	NO	NO	NO
Sandwich Mountain	3960	1160	New Hampshire	White Mountains	Sandwich Range	43.900524	-71.498151	NO	YES	NO	YES	NO
The Bulge	3940	220	New Hampshire	White Mountains		44.514568	-71.408182	NO	YES	NO	NO	NO
Mount Nancy	3926	1006	New Hampshire	White Mountains		44.122322	-71.404649	NO	YES	NO	NO	NO
Mount Webster	3910	150	New Hampshire	White Mountains	Presidential Range (NH)	44.194751	-71.388224	NO	NO	NO	YES	NO
