MOUNTAIN	ELEVATION	PROMINENCE	STATE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	3500FOOT	1800PROM	TOWER
Mount Mansfield	4393	3633	Vermont	Green Mountains	Mansfield Range	44.543822	-72.814366	YES	YES	YES	NO
Killington Peak	4235	3315	Vermont	Green Mountains	Coolidge Range	43.604717	-72.820177	YES	YES	YES	YES
Mount Ellen	4083	2132	Vermont	Green Mountains	Presidential Range (VT)	44.159897	-72.928833	YES	YES	YES	NO
Camel's Hump	4080	1860	Vermont	Green Mountains	Presidential Range (VT)	44.319572	-72.886339	YES	YES	YES	NO
Mansfield Nose	4020	160	Vermont	Green Mountains	Mansfield Range	44.526468	-72.814979	YES	YES	NO	NO
Mount Abraham (VT)	4006	286	Vermont	Green Mountains	Presidential Range (VT)	44.120426	-72.936238	YES	YES	NO	NO
Pico Peak	3957	577	Vermont	Green Mountains	Coolidge Range	43.639421	-72.836444	NO	YES	NO	NO
Stratton Mountain	3940	2405	Vermont	Green Mountains	Stratton Range	43.086218	-72.925101	NO	YES	YES	YES
Jay Peak	3858	2972	Vermont	Green Mountains	Jay Range (VT)	44.924147	-72.525707	NO	YES	YES	NO
Mendon Peak	3840	280	Vermont	Green Mountains	Coolidge Range	43.595186	-72.846330	NO	YES	NO	NO
Equinox Mountain	3840	3040	Vermont	Taconic Mountains	North Taconic Range	43.165988	-73.117574	NO	YES	YES	NO
Bread Loaf Mountain	3835	1415	Vermont	Green Mountains	Presidential Range (VT)	44.002113	-72.941362	NO	YES	NO	NO
Big Jay	3786	380	Vermont	Green Mountains	Jay Range (VT)	44.915184	-72.540676	NO	YES	NO	NO
Mount Wilson	3780	200	Vermont	Green Mountains	Presidential Range (VT)	44.004778	-72.925501	NO	YES	NO	NO
Dorset Mountain	3760	2820	Vermont	Taconic Mountains	North Taconic Range	43.309277	-73.028248	NO	YES	YES	NO
Glastenbury Mountain	3748	1108	Vermont	Green Mountains	Stratton Range	42.977928	-73.071635	NO	YES	NO	YES
Shrewsbury Peak	3720	620	Vermont	Green Mountains	Coolidge Range	43.575702	-72.806039	NO	YES	NO	NO
Sterling Mountain	3714	1534	Vermont	Green Mountains	Mansfield Range	44.582240	-72.740047	NO	YES	NO	NO
Ethan Allen Mountain	3688	868	Vermont	Green Mountains	Presidential Range (VT)	44.293688	-72.884361	NO	YES	NO	NO
Bolton Mountain	3680	1780	Vermont	Green Mountains	Mansfield Range	44.449346	-72.839840	NO	YES	NO	NO
Stark Mountain	3662	222	Vermont	Green Mountains	Presidential Range (VT)	44.184165	-72.928899	NO	YES	NO	NO
